id,neighbourhood,street,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,Q1 2019 AVG,Q2 2019 AVG,Q3 2019 AVG,Q4 2019 AVG,Q1 2020 AVG,Q2 2020 AVG,Q3 2020 AVG
237465,Raheny,Dublin; Ireland,Dublin 13,Dublin; Ireland,t,Apartment,Entire home/apt,3,1,2,46.66,55.00,55.00,55.00,55.00,55.00,54.00
245893,,Lucan; County Dublin; Ireland,,Lucan; Ireland,t,House,Private room,2,1,1,45.00,45.00,45.00,45.00,45.00,45.00,45.00
245903,,Lucan; County Dublin; Ireland,,Lucan; Ireland,t,Bed and breakfast,Private room,1,1,1,30.00,30.00,30.00,30.00,30.00,30.00,30.00
246560,Portobello,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Townhouse,Private room,2,1,1,59.00,59.00,59.00,59.00,39.33,0.00,25.00
254941,Blackrock,Blackrock; Dublin; Ireland,,Blackrock; Ireland,t,House,Private room,2,1,1,48.00,48.66,50.00,50.00,44.00,41.00,28.33
261248,,Dun Laoghaire; Ireland,,Dun Laoghaire; Ireland,t,Bed and breakfast,Private room,2,1,1,36.00,36.00,36.00,36.00,36.00,36.00,36.66
266856,,Dun Laoghaire; Ireland,,Dun Laoghaire; Ireland,t,Bed and breakfast,Private room,2,1,1,36.00,36.00,36.00,36.00,36.00,36.00,36.66
266935,,Dun Laoghaire; Ireland,,Dun Laoghaire; Ireland,t,Bed and breakfast,Private room,6,1,4,80.00,80.00,53.33,0.00,0.00,0.00,0.00
272650,Drumcondra,Dublin; Ireland,Dublin 9,Dublin; Ireland,t,Townhouse,Private room,2,1,2,88.33,85.00,56.66,0.00,0.00,0.00,0.00
275425,Sandymount,Sandymount; Dublin; Ireland,,Sandymount; Ireland,t,House,Entire home/apt,6,2,2,350.00,350.00,325.00,257.00,248.00,248.00,248.00
286635,Santry,Dublin; County Dublin; Ireland,,Dublin; Ireland,t,Bed and breakfast,Private room,3,1,3,59.00,59.00,19.66,0.00,39.33,59.00,60.33
292757,Castleknock,Dublin; Ireland,D15 C6YT,Dublin; Ireland,f,House,Entire home/apt,9,4,5,120.00,120.00,120.00,120.00,120.00,120.00,120.66
302554,Stoneybatter/Arbour Hill,Dublin; County Dublin; Ireland,Dublin 7,Dublin; Ireland,t,Apartment,Entire home/apt,5,1,3,180.00,180.00,180.00,180.00,180.00,180.00,160.66
302634,Stoneybatter/Arbour Hill,Dublin; County Dublin; Ireland,Dublin 7,Dublin; Ireland,t,Apartment,Entire home/apt,3,1,2,100.00,100.00,100.00,100.00,100.00,100.00,87.66
314639,Santry,Dublin; County Dublin; Ireland,Dublin 9,Dublin; Ireland,t,Bed and breakfast,Private room,2,1,1,59.00,59.00,19.66,0.00,39.33,59.00,60.33
314640,Santry,Dublin; County Dublin; Ireland,Dublin 9,Dublin; Ireland,t,Bed and breakfast,Private room,2,1,2,59.00,59.00,19.66,0.00,39.33,59.00,60.33
314641,Santry,Dublin; County Dublin; Ireland,Dublin 9,Dublin; Ireland,t,Bed and breakfast,Private room,2,1,1,59.00,59.00,19.66,0.00,39.33,59.00,60.33
315698,Ringsend/Irishtown,Irishtown; Dublin; Ireland,D4,Irishtown; Ireland,t,Apartment,Private room,2,1,1,44.00,44.00,44.00,44.00,52.00,56.00,71.33
333950,The Liberties,Dublin; County Dublin; Ireland,Dublin 8,Dublin; Ireland,t,Townhouse,Private room,2,1,1,49.00,49.00,56.33,40.00,60.00,60.00,64.00
345398,Blackrock,Stillorgan; County Dublin; Ireland,,Stillorgan; Ireland,t,House,Private room,2,1,1,50.00,50.00,33.33,50.00,48.66,48.00,32.66
365854,North City Central/O'Connell Street,Dublin; County Dublin; Ireland,Dublin 1,Dublin; Ireland,t,Apartment,Entire home/apt,3,1,1,85.00,85.00,85.00,85.00,85.00,85.00,87.00
374792,Kilmainham,Dublin; County Dublin; Ireland,Dublin 8,Dublin; Ireland,t,Apartment,Entire home/apt,4,1,1,135.00,135.00,135.00,135.00,135.00,135.00,130.33
386860,,Dublin; County Dublin; Ireland,Dublin 8,Dublin; Ireland,t,House,Entire home/apt,4,2,2,150.00,150.00,150.00,150.00,150.00,150.00,159.33
393631,North Strand,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Entire home/apt,6,3,3,180.00,180.00,180.00,180.00,180.00,180.00,180.00
399005,,Dun Laoghaire; County Dublin; Ireland,Dublin 18,Dun Laoghaire; Ireland,f,House,Entire home/apt,6,3,3,179.00,119.33,0.00,0.00,0.00,0.00,0.00
399579,,Dun Laoghaire; County Dublin; Ireland,Dublin 18,Dun Laoghaire; Ireland,t,House,Entire home/apt,6,3,3,308.00,205.33,0.00,0.00,0.00,0.00,0.00
419987,Cabra,Dublin; County Dublin; Ireland,Dublin 7,Dublin; Ireland,t,Apartment,Entire home/apt,6,1,3,200.00,200.00,200.00,200.00,200.00,200.00,168.00
420297,Churchtown,Churchtown; Ireland,Dublin 14,Churchtown; Ireland,t,Bed and breakfast,Private room,2,1,2,50.00,50.00,50.00,50.00,50.00,50.00,55.33
421239,Dublin Industrial Estate,Glasnevin; Dublin; Ireland,D11,Glasnevin; Ireland,t,Bed and breakfast,Private room,2,1,2,78.33,88.33,90.00,90.00,66.66,0.00,0.00
424596,North City Central/O'Connell Street,Dublin; County Dublin; Ireland,,Dublin; Ireland,t,Loft,Entire home/apt,3,0,1,110.00,110.00,110.00,110.00,110.00,110.00,132.00
425164,Portobello,Dublin; County Dublin; Ireland,Dublin 8,Dublin; Ireland,t,House,Private room,3,1,2,110.00,110.00,36.66,110.00,110.00,110.00,110.00
426326,Beaumont,Dublin; County Dublin; Ireland,Dublin 9,Dublin; Ireland,t,House,Private room,3,1,2,36.66,37.33,25.33,24.00,36.00,36.00,40.00
427077,North City Central/O'Connell Street,Dublin; County Dublin; Ireland,,Dublin; Ireland,t,Loft,Entire home/apt,3,0,1,110.00,110.00,110.00,110.00,110.00,110.00,132.00
427495,Beaumont,Dublin; County Dublin; Ireland,Dublin 9,Dublin; Ireland,t,House,Private room,2,1,1,36.66,37.33,25.33,35.00,35.00,35.00,39.66
446070,,Dublin; Ireland,Dublin 7,Dublin; Ireland,f,Townhouse,Entire home/apt,3,2,2,105.00,0.00,0.00,0.00,0.00,0.00,0.00
449556,,North County Dublin; Dublin; Ireland,K67EA03,North County Dublin; Ireland,t,Bed and breakfast,Private room,4,1,3,145.00,96.66,0.00,145.00,145.00,145.00,145.00
451611,Old City,Dublin 8; Dublin; Ireland,D8,Dublin 8; Ireland,t,Apartment,Entire home/apt,2,1,1,83.00,83.00,27.66,27.66,83.00,83.00,84.66
454183,Cabra,Dublin; County Dublin; Ireland,Dublin 7,Dublin; Ireland,t,Loft,Entire home/apt,3,1,2,80.00,80.00,80.00,80.00,80.00,53.33,0.00
460461,Santry,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Entire home/apt,6,3,3,200.00,200.00,200.00,66.66,133.33,200.00,200.00
468082,,Lucan; County Dublin; Ireland,,Lucan; Ireland,t,House,Private room,6,3,4,70.00,70.00,70.00,70.00,70.00,70.00,70.00
497136,Sandymount,Dublin; County Dublin; Ireland,Dublin 4,Dublin; Ireland,t,House,Private room,2,1,1,55.00,55.00,55.00,55.00,55.00,55.00,55.00
519416,North City Central/O'Connell Street,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,53.33,50.00,52.00,52.00,52.00,52.00,35.66
521746,,Swords; County Dublin; Ireland,,Swords; Ireland,t,House,Private room,2,1,2,41.00,41.00,13.66,0.00,0.00,0.00,0.00
522667,North City Central/O'Connell Street,Dublin; County Dublin; Ireland,,Dublin; Ireland,t,Loft,Entire home/apt,3,1,1,110.00,110.00,110.00,110.00,110.00,110.00,132.00
526767,North City Central/O'Connell Street,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Loft,Entire home/apt,4,0,2,140.00,140.00,46.66,140.00,140.00,140.00,246.66
536320,Smithfield,Dublin; County Dublin; Ireland,Dublin 7,Dublin; Ireland,t,Loft,Private room,2,1,1,50.00,50.00,50.00,50.00,50.00,50.00,53.33
547945,Phibsborough,Dublin; County Dublin; Ireland,Dublin 7,Dublin; Ireland,t,House,Private room,1,1,1,35.00,35.00,35.00,35.00,35.00,35.00,11.66
564274,,Stillorgan; County Dublin; Ireland,Dublin 18,Stillorgan; Ireland,t,House,Private room,2,2,1,29.00,29.00,29.00,29.00,9.66,0.00,0.00
575339,Docklands,Dublin; County Dublin; Ireland,Dublin 2,Dublin; Ireland,f,Apartment,Private room,2,1,2,50.00,50.00,50.00,50.00,50.00,50.00,50.00
585181,Terenure,Kimmage; Dublin; Ireland,6W,Kimmage; Ireland,t,House,Private room,1,1,1,20.00,0.00,0.00,0.00,0.00,0.00,0.00
587218,Cabra,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,2,1,1,80.00,80.00,80.00,80.00,80.00,80.00,80.00
592536,Terenure,Kimmage; Dublin; Ireland,6W,Kimmage; Ireland,t,House,Private room,2,1,2,24.00,0.00,0.00,0.00,0.00,0.00,0.00
592840,,Lucan; County Dublin; Ireland,,Lucan; Ireland,t,House,Private room,1,1,1,55.00,55.00,55.00,55.00,55.00,55.00,55.00
595320,The Liberties,Dublin; Ireland,Dublin 8,Dublin; Ireland,f,Apartment,Private room,2,1,1,40.00,40.00,40.00,40.00,40.00,40.00,42.00
608191,,Artane; Dublin; Ireland,,Artane; Ireland,t,Guesthouse,Entire home/apt,2,1,1,23.33,0.00,0.00,0.00,0.00,0.00,0.00
610233,,Smithfield; Dublin; Ireland,,Smithfield; Ireland,t,House,Entire home/apt,4,2,2,101.00,101.00,101.00,101.00,101.00,101.00,133.66
630655,Smithfield,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Loft,Private room,1,1,1,50.00,50.00,50.00,50.00,50.00,33.33,0.00
631270,Docklands,Ringsend; Dublin; Ireland,,Ringsend; Ireland,t,Townhouse,Private room,1,1,1,59.00,59.00,19.66,0.00,0.00,0.00,0.00
631455,Docklands,Ringsend; Dublin; Ireland,,Ringsend; Ireland,t,Townhouse,Private room,1,0,3,230.00,230.00,76.66,0.00,0.00,0.00,0.00
637185,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,92.66,93.00,94.66,94.33,96.33,95.33,98.00
641880,Old City,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,85.00,85.00,85.00,85.00,85.00,85.00,85.00
649740,Old City,Dublin 2; Ireland,,Dublin 2; Ireland,t,Apartment,Private room,2,1,1,85.00,85.00,85.00,85.00,28.33,0.00,0.00
649854,,County Dublin; County Dublin; Ireland,D01 XN35,County Dublin; Ireland,t,Apartment,Entire home/apt,4,1,3,85.00,85.00,28.33,0.00,0.00,0.00,0.00
654589,Temple Bar,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,5,2,4,170.00,170.00,56.66,170.00,170.00,139.66,144.66
690119,Dundrum,Dundrum; Dublin; Ireland,,Dundrum; Ireland,t,Cottage,Entire home/apt,4,2,2,196.00,196.00,295.00,295.00,295.00,283.33,288.33
692956,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Guesthouse,Entire home/apt,2,1,1,55.00,55.00,55.00,55.00,55.00,55.00,49.66
700142,,Dublin; Dublin; Ireland,,Dublin; Ireland,f,House,Private room,2,1,3,80.00,80.00,80.00,80.00,80.00,80.00,80.00
700193,,Dublin; Dublin; Ireland,16.00,Dublin; Ireland,f,House,Entire home/apt,10,1,10,300.00,300.00,300.00,300.00,300.00,300.00,300.00
715205,Drumcondra,Dromcondra; Dublin; Ireland,,Dromcondra; Ireland,t,Guesthouse,Private room,3,1,2,33.33,50.00,33.33,50.00,50.00,50.00,50.00
726011,,Skerries; Co. Dublin; Ireland,0.00,Skerries; Ireland,t,Apartment,Entire home/apt,3,1,3,110.00,110.00,110.00,110.00,110.00,110.00,116.66
727047,Temple Bar,Dublin; Dublin 1; Ireland,0.00,Dublin; Ireland,t,Apartment,Entire home/apt,5,1,4,150.00,100.00,0.00,0.00,0.00,0.00,0.00
727048,North City Central/O'Connell Street,Dublin; Dublin 1; Ireland,0.00,Dublin; Ireland,t,Apartment,Entire home/apt,3,1,2,120.00,0.00,0.00,0.00,0.00,0.00,0.00
736751,Drumcondra,Dromcondra; Dublin; Ireland,,Dromcondra; Ireland,t,Guesthouse,Private room,2,1,1,33.33,50.00,33.33,50.00,50.00,50.00,50.00
736773,Drumcondra,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Guesthouse,Private room,4,1,4,33.33,50.00,33.33,50.00,50.00,50.00,50.00
736794,Drumcondra,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Bungalow,Private room,4,1,4,33.33,50.00,33.33,50.00,50.00,50.00,50.00
742656,Grafton Street/St. Stephens Green,Dublin; Dublin; Ireland,2.00,Dublin; Ireland,t,Apartment,Private room,2,1,1,58.33,60.00,60.00,60.00,60.00,60.00,60.00
747284,Dundrum,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Condominium,Entire home/apt,4,2,2,89.00,89.00,89.00,89.00,89.00,89.00,176.33
747976,Beaumont,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Townhouse,Private room,2,1,1,41.00,39.33,36.00,36.00,36.00,12.00,37.33
760070,,Dun Laoghaire-Rathdown; Dublin; Ireland,,Dun Laoghaire-Rathdown; Ireland,f,House,Private room,2,1,1,86.66,80.00,0.00,0.00,0.00,0.00,0.00
800026,Drumcondra,Drumcondra; Dublin; Ireland,,Drumcondra; Ireland,t,Guesthouse,Entire home/apt,14,5,10,200.00,0.00,200.00,300.00,300.00,300.00,300.00
816039,Phoenix Park and Surrounds,Dublin; Ireland,7.00,Dublin; Ireland,t,Townhouse,Entire home/apt,12,4,7,256.66,238.00,238.00,238.00,238.00,238.00,158.66
837881,Bonnybrook/Darndale,Dublin 13; County Dublin; Ireland,D13 Y593,Dublin 13; Ireland,f,Townhouse,Private room,4,1,3,22.66,0.00,0.00,0.00,0.00,0.00,0.00
838412,Drumcondra,Drumcondra; Dublin; Ireland,,Drumcondra; Ireland,t,Bed and breakfast,Private room,2,1,1,90.00,60.00,0.00,0.00,0.00,0.00,0.00
870350,,Malahide; Dublin; Ireland,,Malahide; Ireland,f,Apartment,Entire home/apt,5,2,3,90.00,90.00,90.00,90.00,90.00,30.00,0.00
871174,Clontarf,Clontarf; Dublin; Ireland,,Clontarf; Ireland,t,House,Private room,3,1,3,26.66,27.00,27.00,11.66,0.00,18.33,28.00
872539,North Strand,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Cottage,Entire home/apt,4,2,2,200.00,200.00,200.00,200.00,200.00,200.00,200.00
884599,Bonnybrook/Darndale,Dublin 17; Dublin; Ireland,D13,Dublin 17; Ireland,t,Apartment,Private room,2,1,1,33.33,33.33,50.00,50.00,0.00,0.00,0.00
898411,Old City,Dublin 2; County Dublin; Ireland,,Dublin 2; Ireland,t,Apartment,Private room,2,1,1,75.00,75.00,75.00,75.00,25.00,0.00,0.00
899921,Drumcondra,Drumcondra; County Dublin; Ireland,,Drumcondra; Ireland,t,Bed and breakfast,Private room,2,1,1,90.00,60.00,0.00,0.00,0.00,0.00,0.00
901088,Drumcondra,Drumcondra; County Dublin; Ireland,,Drumcondra; Ireland,t,House,Private room,3,1,3,150.00,100.00,0.00,0.00,0.00,0.00,0.00
922425,Old City,Dublin; County Dublin; Ireland,,Dublin; Ireland,t,Townhouse,Entire home/apt,4,2,2,134.00,134.00,134.00,89.33,134.00,134.00,128.00
928970,Docklands,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Boat,Entire home/apt,4,1,3,130.00,130.00,153.33,165.00,165.00,165.00,173.33
929816,Docklands,Dublin; Dublin; Ireland,Dublin 2,Dublin; Ireland,t,Apartment,Private room,2,1,1,75.00,75.00,75.00,75.00,75.00,75.00,77.66
936063,,Swords; Dublin; Ireland,,Swords; Ireland,t,Townhouse,Private room,10,4,5,40.00,40.00,45.00,50.00,16.66,0.00,0.00
937977,,Swords; Dublin; Ireland,,Swords; Ireland,t,House,Private room,10,4,5,40.00,40.00,46.66,45.00,15.00,0.00,0.00
939866,Docklands,Dublin; Dublin; Ireland,Dublin 2,Dublin; Ireland,t,Apartment,Entire home/apt,4,2,2,170.00,170.00,170.00,170.00,170.00,170.00,148.33
990300,Dartry,Rathmines; Dublin; Ireland,,Rathmines; Ireland,t,Townhouse,Private room,3,2,2,65.00,65.00,65.00,65.00,65.00,65.00,65.00
998407,Raheny,Donaghmede; Dublin; Ireland,,Donaghmede; Ireland,t,Apartment,Entire home/apt,2,0,1,36.66,45.00,45.00,45.00,45.00,45.00,45.00
999963,Cabra,Dublin; Leinster; Ireland,7.00,Dublin; Ireland,t,Apartment,Entire home/apt,2,0,1,415.00,415.00,415.00,455.00,285.00,200.00,200.00
1017861,Pelletstown,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Townhouse,Private room,3,1,2,50.00,50.00,50.00,50.00,50.00,50.00,54.66
1022945,,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,2,1,1,46.66,0.00,0.00,0.00,0.00,0.00,0.00
1053524,The Liberties,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,3,1,2,105.00,70.00,0.00,0.00,0.00,0.00,0.00
1053992,Docklands,Dublin; County Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,6,2,3,140.00,140.00,0.00,0.00,0.00,0.00,0.00
1064692,Georgian Quarter,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,1,1,1,53.00,53.00,53.00,69.00,23.00,0.00,14.66
1066391,,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,2,1,1,80.00,26.66,0.00,0.00,0.00,0.00,0.00
1073487,Dundrum,Clonskeagh; Dublin; Ireland,,Clonskeagh; Ireland,t,House,Private room,1,1,1,45.00,48.33,55.00,55.00,55.00,55.00,55.00
1076514,Trinity College,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,4,1,2,120.00,139.33,145.00,145.00,110.00,110.00,0.00
1076634,Kimmage,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,2,1,1,50.00,57.66,59.00,59.00,59.00,59.00,59.00
1102379,,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Entire home/apt,4,2,2,105.00,105.00,70.00,0.00,0.00,0.00,73.33
1131404,Docklands,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Condominium,Entire home/apt,4,1,2,120.00,120.00,80.00,0.00,0.00,0.00,0.00
1145057,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Cabin,Private room,2,1,1,50.00,16.66,0.00,0.00,0.00,0.00,0.00
1173029,Stoneybatter/Arbour Hill,Dublin; Dublin; Ireland,D 7,Dublin; Ireland,t,House,Entire home/apt,4,2,2,143.00,143.00,95.33,89.33,41.66,83.33,151.66
1207950,Dundrum,Ballinteer; Dublin; Ireland,,Ballinteer; Ireland,t,House,Entire home/apt,8,4,4,230.00,230.00,263.33,280.00,280.00,306.66,320.00
1213626,Terenure,Kimmage; Dublin; Ireland,6W,Kimmage; Ireland,t,House,Private room,1,1,1,20.00,0.00,0.00,0.00,0.00,0.00,0.00
1244710,North City Central/O'Connell Street,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,6,2,3,122.00,122.00,122.00,122.00,124.00,128.00,128.00
1245040,Ballsbridge,Dublin 4; Ireland; Ireland,,Dublin 4; Ireland,f,Apartment,Entire home/apt,3,2,2,46.66,0.00,0.00,0.00,0.00,0.00,0.00
1270261,,Dublin; Dublin; Ireland,co,Dublin; Ireland,t,House,Private room,6,1,6,70.00,70.00,70.00,70.00,70.00,70.00,56.66
1276002,East Wall,Dublin; Ireland,3.00,Dublin; Ireland,t,Townhouse,Entire home/apt,5,3,3,300.00,300.00,300.00,350.00,350.00,350.00,350.00
1289697,Rathfarnham,Rathfarnham; Dublin; Ireland,,Rathfarnham; Ireland,t,House,Entire home/apt,6,3,3,130.00,130.00,130.00,130.00,130.00,130.00,156.66
1290506,Ballyfermot,Palmerstown;; Dublin 20;; Ireland,Dublin,Palmerstown;; Ireland,t,House,Private room,2,1,1,50.00,50.00,50.00,33.33,0.00,0.00,0.00
1296492,Ringsend/Irishtown,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,2,1,1,48.00,48.00,48.00,48.00,48.00,48.00,48.00
1297124,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Bed and breakfast,Private room,2,1,1,57.00,38.00,0.00,0.00,0.00,0.00,0.00
1315528,,Swords; Dublin; Ireland,,Swords; Ireland,t,Townhouse,Private room,10,4,5,40.00,40.00,43.33,45.00,15.00,0.00,0.00
1322440,Beaumont,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Shared room,3,1,3,22.00,22.00,22.00,22.00,22.00,7.33,0.00
1325854,Docklands,Dublin; Dublin; Ireland,1.00,Dublin; Ireland,t,Apartment,Private room,2,1,1,53.33,0.00,0.00,0.00,0.00,0.00,0.00
1332458,Phibsborough,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Entire home/apt,16,4,8,799.00,799.00,799.00,799.00,465.66,365.66,133.00
1341478,Cabra,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,3,1,2,85.00,85.00,85.00,85.00,85.00,85.00,68.33
1341827,Blackrock,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,2,1,1,58.00,38.66,38.66,0.00,0.00,0.00,0.00
1345435,Portobello,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Townhouse,Private room,2,1,1,42.00,42.00,42.00,43.33,30.66,0.00,14.00
1364313,,Dublin; Dublin; Ireland,2.00,Dublin; Ireland,t,Apartment,Entire home/apt,3,1,1,90.00,90.00,0.00,0.00,0.00,0.00,0.00
1364560,Rialto,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,2,1,1,60.00,70.00,64.00,64.00,64.00,64.00,66.00
1407832,Blackrock,Blackrock; Dublin; Ireland,,Blackrock; Ireland,t,House,Entire home/apt,8,4,5,160.00,160.00,160.00,160.00,160.00,160.00,160.00
1411019,North City Central/O'Connell Street,Dublin; Dublin; Ireland,D1,Dublin; Ireland,t,Apartment,Private room,2,1,1,87.00,87.00,87.00,89.00,88.33,85.00,38.66
1418666,,Rathmines; Dublin; Ireland,,Rathmines; Ireland,t,Townhouse,Entire home/apt,2,2,2,200.00,200.00,200.00,133.33,0.00,0.00,0.00
1436858,Georgian Quarter,Dublin; Dublin; Ireland,d2,Dublin; Ireland,f,Apartment,Entire home/apt,4,2,2,86.66,0.00,0.00,0.00,0.00,0.00,0.00
1447994,Docklands,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,75.00,75.00,75.00,75.00,75.00,75.00,75.00
1466234,Crumlin,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,1,1,1,30.00,30.00,30.00,30.00,30.00,30.00,28.66
1488124,North City Central/O'Connell Street,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,68.00,68.00,68.00,68.00,68.00,68.00,68.00
1489545,,Portmarnock; Co. Dublin; Ireland,Dublin 13,Portmarnock; Ireland,t,Apartment,Private room,2,1,1,55.00,55.00,55.00,36.66,55.00,18.33,0.00
1499328,Temple Bar,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,45.00,0.00,0.00,0.00,0.00,0.00,0.00
1500892,,North County Dublin ; Dublin; Ireland,K67EA03,North County Dublin ; Ireland,f,Bed and breakfast,Private room,3,1,2,120.00,120.00,120.00,120.00,120.00,120.00,120.00
1500921,,North County Dublin; Dublin; Ireland,K67EA03,North County Dublin; Ireland,f,House,Private room,2,1,1,75.00,25.00,0.00,0.00,0.00,0.00,0.00
1517181,,Dublin; Dublin; Ireland,D18,Dublin; Ireland,t,Apartment,Private room,2,1,1,40.00,13.33,0.00,0.00,0.00,0.00,0.00
1520036,Old City,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,4,2,2,210.00,210.00,210.00,210.00,210.00,210.00,210.00
1541581,Ardilea,Clonskeagh; Dublin; Ireland,14.00,Clonskeagh; Ireland,t,Townhouse,Entire home/apt,6,3,6,165.00,160.00,100.00,0.00,116.66,175.00,113.00
1550394,Temple Bar,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,135.66,189.00,199.00,192.33,179.00,179.00,185.00
1551644,,South Dublin; County Dublin; Ireland,,South Dublin; Ireland,f,House,Entire home/apt,4,2,2,130.00,130.00,130.00,130.00,130.00,130.00,136.66
